car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12880,8177,Nissan,Nissan NV350 Petrol,2.0 Panel Van (M),109688,-,10969,1420,77109,-,-,-,,Petrol,True
12880,8178,Nissan,Nissan NV350 Petrol,2.0 Window Van (A),112688,-,11269,1459,77109,-,-,-,,Petrol,True
12880,8176,Nissan,Nissan NV350 Petrol,2.0 Microbus (A),119688,-,11969,1550,77109,-,-,-,,Petrol,True
12881,8423,Opel,Opel Vivaro-e Electric,75 kWh (A),151500,-,15150,1962,77109,-,-,-,-,Electric,True
12881,8729,Opel,Opel Vivaro-e Electric,75 kWh Sliding Door Window (A),153000,-,15300,1981,77109,-,-,-,-,Electric,True
12882,8678,Opel,Opel Mokka,1.2 Turbo GS (A),153500,15000,61400,1325,86000,508,21209,6693,9.2010,Petrol,True
12883,8881,Subaru,Subaru BRZ,2.4 (M),234800,-,-,-,105459,1666,-,-,6.3010,Petrol,True
12883,8882,Subaru,Subaru BRZ,2.4 (A),239800,-,-,-,105459,1666,-,-,6.9010,Petrol,True
12886,8274,Kia,Kia Stonic Mild Hybrid,1.0T EX (A),125999,12400,37800,1269,86000,390,19197,4197,10.401,Petrol-Electric,True
12886,8275,Kia,Kia Stonic Mild Hybrid,1.0T SX (A),129999,12700,52000,1122,86000,390,20188,5263,10.401,Petrol-Electric,True
12888,8195,Suzuki,Suzuki Swift Sport Mild Hybrid,1.4 Turbo Standard (M),155900,15500,46770,1570,86000,610,16955,1955,9.1010,Petrol-Electric,True
12888,8207,Suzuki,Suzuki Swift Sport Mild Hybrid,1.4 Turbo Standard Two-Tone (M),156900,15500,47070,1580,86000,610,19800,4800,9.1010,Petrol-Electric,True
12889,8601,Kia,Kia Carnival Diesel,2.2 SX Vision 7-Seater (A),283999,-,113600,2452,105459,2152,-,-,10.701,Diesel (Euro VI),True
12893,8231,Volkswagen,Volkswagen Golf Mild Hybrid,1.5 eTSI DSG Life Plus (A),173400,16800,69360,1497,105459,684,24331,11063,8.5010,Petrol-Electric,True
12893,8232,Volkswagen,Volkswagen Golf Mild Hybrid,1.5 eTSI DSG R-Line (A),183400,17500,73360,1583,105459,684,29097,17736,8.5010,Petrol-Electric,True
12894,8211,Jaguar,Jaguar E-PACE Mild Hybrid,1.5 SE (A),248999,23300,99600,2150,105459,684,28193,31470,90100,Petrol-Electric,True
12895,8771,Audi,Audi A3 Sedan Mild Hybrid,1.0 TFSI S tronic (A),203809,18800,81524,1759,86000,390,28006,31208,10.601,Petrol-Electric,True
12895,8212,Audi,Audi A3 Sedan Mild Hybrid,1.5 TFSI S tronic (A),230082,22200,92033,1986,105459,684,28113,16358,8.4010,Petrol-Electric,True
12895,8309,Audi,Audi A3 Sedan Mild Hybrid,1.5 TFSI S tronic [Sport Seats] (A),230180,-,92072,1987,105459,684,-,-,8.4010,Petrol-Electric,True
12897,8772,Audi,Audi A3 Sportback Mild Hybrid,1.0 TFSI S tronic (A),202019,18700,80808,1744,86000,390,27191,30067,10.601,Petrol-Electric,True
12899,8224,BMW,BMW 4 Series Convertible,420i M Sport (A),313888,27800,125555,2710,105459,1210,55705,72269,8.2010,Petrol,True
